2019/11/19 11:43:27 [xorm] [info]  2019/11/19 11:43:27.827649 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.443634 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"23.237.173.102:3128", "http", 1826, 1}
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.448546 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.449374 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"23.237.173.102:3128", "http", "", 1826}
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.451434 [SQL] COMMIT
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.694060 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"51.158.111.229:8811", "http", 2190, 1}
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.697417 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.697981 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"51.158.111.229:8811", "http", "", 2190}
2019/11/19 11:48:49 [xorm] [info]  2019/11/19 11:48:49.699726 [SQL] COMMIT
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.064106 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.105.170:3128", "http", 2690, 1}
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.370907 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.131.143:8080", "http", 2995, 1}
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.759472 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"159.192.141.89:8080", "http", 3230, 1}
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.764818 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.765957 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"159.192.141.89:8080", "http", "", 3230}
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.768383 [SQL] COMMIT
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.837113 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"45.70.218.102:50140", "http", 3322, 1}
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.842769 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.844010 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"45.70.218.102:50140", "http", "", 3322}
2019/11/19 11:48:50 [xorm] [info]  2019/11/19 11:48:50.847253 [SQL] COMMIT
2019/11/19 11:48:51 [xorm] [info]  2019/11/19 11:48:51.407163 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"103.245.182.21:8080", "http", 3897, 1}
